type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
L,303.6,312.9,1381,57.8,27,No Failure
L,303.6,312.9,1450,45.3,29,No Failure
L,303.7,312.9,1461,50.1,31,No Failure
M,303.7,312.9,1511,41.0,33,No Failure
L,303.7,313.0,1457,44.1,40,No Failure
L,303.7,313.0,1694,28.0,44,No Failure
L,303.7,313.1,1683,28.4,46,No Failure
L,303.7,313.1,1496,47.4,48,No Failure
L,303.6,313.0,1575,38.3,54,No Failure
M,303.5,313.0,1902,21.6,60,No Failure
M,303.4,312.9,1422,39.9,63,No Failure
M,303.4,312.9,1307,54.3,68,No Failure
L,303.5,313.0,1547,40.3,73,No Failure
L,303.5,313.1,1897,23.6,75,No Failure
M,303.5,313.0,1403,51.9,77,No Failure
L,303.5,313.0,1482,38.5,82,No Failure
M,303.5,312.9,1572,44.7,84,No Failure
L,303.5,312.9,1544,36.9,87,No Failure
M,303.5,313.0,1492,46.1,89,No Failure
L,303.4,312.8,1513,35.8,92,No Failure
L,303.4,312.8,1449,43.9,94,No Failure
L,303.5,312.8,1877,22.3,96,No Failure
L,303.4,312.8,1376,53.4,98,No Failure
M,303.5,312.9,1883,23.3,100,No Failure
M,303.5,312.9,1438,42.8,106,No Failure
L,303.4,312.9,1389,54.1,109,No Failure
L,303.5,312.9,1504,44.8,111,No Failure
L,303.5,312.9,1275,64.4,113,No Failure
L,303.6,313.0,1534,39.7,115,No Failure
M,303.6,313.0,1396,38.2,117,No Failure
L,303.6,313.0,1617,30.9,122,No Failure
L,303.7,313.1,1423,41.2,124,No Failure
L,303.5,313.0,1606,34.0,126,No Failure
L,303.5,312.9,1501,44.0,128,No Failure
M,303.5,312.9,1618,30.4,130,No Failure
H,303.8,313.2,1381,52.4,140,No Failure
L,303.8,313.2,1525,41.9,145,No Failure
M,303.8,313.2,1732,29.6,147,No Failure
L,303.8,313.1,1523,39.8,150,No Failure
L,303.8,313.1,1422,42.4,152,No Failure
H,303.8,313.2,1506,46.9,154,No Failure
L,303.8,313.2,1531,39.4,159,No Failure
M,303.9,313.3,1507,34.3,161,No Failure
L,303.9,313.3,1526,40.7,164,No Failure
L,303.8,313.3,1406,52.1,166,No Failure
M,303.9,313.4,1464,49.1,171,No Failure
L,303.8,313.2,1336,47.8,176,No Failure
H,303.8,313.2,1379,50.2,178,No Failure
L,303.7,313.1,1406,48.6,183,No Failure
M,303.7,313.1,2130,18.1,185,No Failure
L,303.7,313.1,1355,49.1,188,No Failure
M,303.8,313.2,1710,26.5,190,No Failure
L,303.9,313.2,1481,44.1,197,No Failure
L,303.9,313.1,1425,49.3,199,No Failure
H,303.9,313.2,1680,29.1,201,No Failure
H,304.0,313.2,1612,31.7,206,No Failure
L,304.0,313.2,1481,42.6,213,No Failure
L,303.8,313.0,1427,43.0,0,No Failure
H,303.7,312.9,1460,49.8,2,No Failure
M,303.7,312.9,1566,32.6,9,No Failure
L,303.6,312.8,1701,30.8,12,No Failure
L,303.6,312.8,1710,27.2,14,No Failure
M,303.6,312.8,1689,33.1,16,No Failure
L,303.6,312.7,1637,32.9,19,No Failure
L,303.5,312.6,1496,39.0,21,No Failure
M,303.5,312.7,1402,47.0,23,No Failure
L,303.4,312.7,1363,45.5,26,No Failure
M,303.4,312.7,1576,49.9,28,No Failure
M,303.4,312.7,1357,55.3,31,No Failure
M,303.4,312.8,1526,30.8,37,No Failure
M,303.5,312.7,2116,16.7,45,No Failure
L,303.7,313.0,1456,45.5,51,No Failure
L,303.6,312.9,1588,31.9,53,No Failure
L,303.7,312.8,1448,44.5,55,No Failure
H,303.6,312.7,1403,46.2,57,No Failure
M,303.5,312.6,1405,51.6,62,No Failure
M,303.4,312.6,2706,9.8,65,Power Failure
M,303.3,312.4,1505,38.9,68,No Failure
L,303.2,312.4,1663,33.7,71,No Failure
M,303.4,312.7,1594,32.8,79,No Failure
L,303.5,312.7,1393,49.3,82,No Failure
H,303.5,312.8,1404,55.8,84,No Failure
L,303.5,312.8,1607,38.4,92,No Failure
L,303.4,312.8,1360,50.8,94,No Failure
L,303.5,312.8,1524,39.4,96,No Failure
L,303.4,312.7,1534,35.5,98,No Failure
L,303.3,312.7,1262,63.8,100,No Failure
M,303.3,312.7,1642,33.6,104,No Failure
M,303.5,312.9,1530,34.5,110,No Failure
M,303.4,312.8,1590,36.3,113,No Failure
L,303.4,312.7,1589,34.0,116,No Failure
L,303.4,312.6,1462,37.5,118,No Failure
H,303.3,312.5,1328,49.8,120,No Failure
H,303.3,312.6,1692,29.0,125,No Failure
L,303.3,312.5,1968,20.6,130,No Failure
H,303.3,312.6,1827,24.2,132,No Failure
M,303.3,312.6,1397,47.1,137,No Failure
L,303.3,312.6,1463,44.0,140,No Failure
L,303.3,312.7,1643,30.7,142,No Failure
L,303.2,312.6,1281,57.0,144,No Failure
L,303.1,312.6,1548,36.4,150,No Failure
H,303.1,312.6,1404,40.6,152,No Failure
M,303.1,312.5,1667,30.0,160,No Failure
H,303.0,312.5,1507,37.9,163,No Failure
H,303.0,312.4,1627,37.1,168,No Failure
H,302.9,312.3,1509,46.8,175,No Failure
M,302.9,312.3,1809,25.0,180,No Failure
L,302.9,312.3,1515,40.8,183,No Failure
L,302.9,312.4,1550,36.9,194,No Failure
L,302.9,312.4,1446,41.7,196,No Failure
L,302.8,312.3,1494,37.5,198,No Failure
L,302.8,312.4,1651,27.0,200,No Failure
L,302.9,312.4,1698,33.8,202,No Failure
M,302.8,312.3,1432,49.0,218,No Failure
L,302.8,312.3,1366,49.1,221,No Failure
H,302.8,312.3,1483,47.2,223,No Failure
L,302.7,312.2,1572,34.4,228,No Failure
L,302.8,312.2,1481,40.2,230,No Failure
M,302.8,312.3,1262,70.5,234,Power Failure
L,302.8,312.4,1523,39.7,239,No Failure
M,302.8,312.3,1416,42.7,241,No Failure
L,302.9,312.4,1923,23.9,244,No Failure
H,302.8,312.4,1411,53.8,246,Overstrain Failure
L,302.7,312.4,1477,46.3,251,Overstrain Failure
L,302.7,312.4,1444,48.7,9,No Failure
L,302.7,312.4,1360,47.8,11,No Failure
L,302.7,312.4,1954,24.8,13,No Failure
L,302.7,312.4,1433,44.2,17,No Failure
M,302.7,312.5,1417,51.5,19,No Failure
L,302.8,312.6,1462,39.4,22,No Failure
L,302.9,312.6,1328,59.9,24,No Failure
H,302.7,312.5,1527,36.4,26,No Failure
L,302.6,312.3,1534,34.3,31,No Failure
M,302.6,312.4,1410,50.3,33,No Failure
L,302.6,312.3,1660,30.3,36,No Failure
L,302.6,312.4,1386,45.8,38,No Failure
L,302.6,312.4,1398,41.6,40,No Failure
L,302.6,312.3,1321,53.4,42,No Failure
L,302.6,312.3,1512,34.2,44,No Failure
M,302.7,312.4,1422,44.5,49,No Failure
L,302.6,312.2,1377,45.5,54,No Failure
L,302.6,312.3,1554,42.0,58,No Failure
L,302.8,312.4,1590,34.4,64,No Failure
L,302.8,312.5,1694,28.4,66,No Failure
L,302.8,312.5,1462,43.4,68,No Failure
L,302.8,312.4,1392,46.2,70,No Failure
L,302.9,312.5,1629,30.4,74,No Failure
M,303.0,312.5,1524,42.1,76,No Failure
M,302.9,312.6,1394,46.4,82,No Failure
L,303.0,312.5,1626,30.5,87,No Failure
M,303.0,312.6,1392,42.9,94,No Failure
L,303.1,312.7,1353,51.8,97,No Failure
M,303.0,312.7,1426,46.8,99,No Failure
L,303.1,312.9,1511,40.1,107,No Failure
L,303.1,312.8,1465,44.1,109,No Failure
L,303.1,312.8,2329,15.1,113,No Failure
L,303.0,312.7,1361,48.8,120,No Failure
M,303.1,312.6,1895,23.5,129,No Failure
M,303.1,312.6,1567,32.9,132,No Failure
M,303.0,312.5,1602,33.7,135,No Failure
L,303.1,312.6,1514,42.1,138,No Failure
L,303.1,312.5,1453,49.1,140,No Failure
M,303.0,312.4,1526,36.1,142,No Failure
L,302.9,312.3,1889,22.8,148,No Failure
L,302.9,312.4,1561,34.8,150,No Failure
M,302.9,312.4,1659,33.1,152,No Failure
L,302.9,312.4,1424,49.5,155,No Failure
M,302.9,312.3,1426,44.7,157,No Failure
L,302.8,312.3,1764,29.9,162,No Failure
M,302.7,312.2,1585,35.5,167,No Failure
L,302.7,312.3,1346,61.2,170,Random Failures
L,302.8,312.3,1386,57.8,172,No Failure
L,302.7,312.2,1369,51.8,174,No Failure
M,302.7,312.1,1378,46.9,176,No Failure
L,302.7,312.2,1336,46.8,179,No Failure
L,302.7,312.2,1611,34.1,186,No Failure
L,302.6,312.0,1781,28.5,196,No Failure
L,302.6,312.1,1782,26.8,198,No Failure
M,302.5,312.0,1826,25.3,203,No Failure
L,302.6,312.2,1520,43.0,208,No Failure
M,302.6,312.1,1611,39.9,210,No Failure
L,302.7,312.2,1450,52.1,213,Overstrain Failure
L,302.6,312.1,1499,35.0,215,Random Failures
L,302.6,312.1,1288,68.5,0,Power Failure
M,302.9,312.4,1334,50.9,5,No Failure
L,302.8,312.4,1376,57.1,8,No Failure
H,302.9,312.5,1357,55.0,12,Random Failures
M,302.9,312.5,1924,24.0,17,No Failure
M,302.9,312.5,1903,21.2,23,No Failure
H,302.9,312.3,1417,48.7,26,No Failure
L,302.7,312.1,1601,35.2,31,No Failure
L,302.7,312.1,1543,37.5,33,No Failure
L,302.6,312.1,1439,52.3,35,No Failure
H,302.6,312.0,1657,29.3,37,No Failure
L,302.9,312.2,1677,30.5,46,No Failure
L,302.8,312.1,1520,39.9,48,No Failure
L,302.8,312.1,1418,51.4,54,No Failure
L,302.8,312.1,1958,20.3,56,No Failure
M,302.8,312.2,1452,50.3,60,No Failure
L,302.7,312.0,1828,24.0,63,No Failure
L,302.6,312.0,1674,32.2,70,No Failure
L,302.6,311.9,1448,49.5,72,No Failure
M,302.6,312.0,1496,45.0,79,No Failure
L,302.6,311.9,1453,39.1,84,No Failure
L,302.5,311.9,1520,44.9,94,No Failure
M,302.5,311.9,1532,38.8,96,No Failure
L,302.4,311.8,1384,50.9,99,No Failure
M,302.4,311.8,1539,39.9,101,No Failure
M,302.3,311.7,1504,37.3,107,No Failure
L,302.4,311.8,1476,46.6,110,No Failure
L,302.4,311.7,1721,26.9,112,No Failure
M,302.3,311.7,1494,37.1,114,No Failure
L,302.3,311.7,1465,43.5,117,No Failure
M,302.3,311.8,1879,23.0,124,No Failure
L,302.4,311.8,1433,42.2,134,No Failure
L,302.3,311.7,1400,41.6,136,No Failure
L,302.4,311.8,1255,59.0,138,No Failure
L,302.2,311.7,1471,45.6,140,No Failure
H,302.2,311.6,1357,44.2,142,No Failure
L,302.3,311.7,1453,41.2,147,No Failure
H,302.3,311.9,1374,52.4,154,No Failure
H,302.5,312.0,1579,35.7,167,No Failure
M,302.5,312.0,1521,40.2,174,No Failure
L,302.5,312.0,1411,44.2,177,No Failure
H,302.5,312.0,1357,42.0,179,No Failure
L,302.5,311.9,1553,40.1,187,No Failure
M,302.5,312.0,1451,43.2,189,No Failure
L,302.4,311.9,1541,37.9,192,No Failure
M,302.3,311.7,1341,46.3,194,No Failure
L,302.4,311.9,1671,29.9,204,No Failure
L,302.4,312.0,1457,45.5,206,No Failure
M,302.5,312.0,1445,54.8,0,No Failure
L,302.5,312.1,1534,38.6,3,No Failure
L,302.4,312.0,1508,36.9,5,No Failure
M,302.4,312.1,1492,47.7,7,No Failure
L,302.4,312.0,1562,37.9,10,No Failure
L,302.4,312.0,1545,36.4,12,No Failure
H,302.4,312.0,1477,39.7,18,No Failure
L,302.4,312.1,1455,40.4,28,No Failure
L,302.5,312.2,1574,38.7,30,No Failure
L,302.6,312.2,1695,27.1,32,No Failure
M,302.6,312.2,1458,38.8,34,No Failure
L,302.5,312.0,1673,29.9,42,No Failure
L,302.4,311.9,1578,29.9,44,No Failure
M,302.5,312.0,1642,29.1,46,No Failure
M,302.4,311.8,1557,31.5,49,No Failure
L,302.5,311.9,1481,42.9,52,No Failure
M,302.5,311.8,1566,37.6,54,No Failure
L,302.6,311.9,1354,48.0,67,No Failure
L,302.6,311.9,1598,35.5,69,No Failure
L,302.7,312.0,1501,37.0,77,No Failure
M,302.7,312.0,1652,31.0,81,No Failure
L,302.9,312.2,1605,33.9,86,No Failure
L,302.9,312.1,1334,54.7,88,No Failure
L,302.9,312.2,1513,37.8,92,No Failure
L,302.9,312.2,1510,41.4,94,No Failure
L,302.9,312.2,1729,23.6,96,No Failure
M,303.1,312.4,1378,50.1,104,No Failure
M,303.0,312.3,1674,29.5,109,No Failure
M,303.0,312.3,1483,38.8,114,No Failure
H,303.0,312.2,1624,28.8,117,No Failure
M,303.0,312.2,1257,71.3,122,Power Failure
L,303.0,312.3,1480,41.4,125,No Failure
L,303.1,312.4,1404,61.5,127,Power Failure
M,303.0,312.4,1645,29.6,129,No Failure
L,303.0,312.3,1932,21.9,132,No Failure
L,303.0,312.3,1533,38.5,134,No Failure
L,302.9,312.2,1571,40.6,139,No Failure
L,302.9,312.3,1578,36.3,141,No Failure
L,302.7,312.1,1728,24.4,146,No Failure
H,302.7,312.1,1603,32.5,148,No Failure
L,302.7,312.1,1597,39.8,153,No Failure
L,302.7,312.1,1688,32.0,155,No Failure
L,302.7,312.2,1405,51.4,157,No Failure
L,302.7,312.2,1376,52.8,164,No Failure
L,302.6,312.1,1502,47.3,171,No Failure
L,302.6,312.0,1447,45.5,173,No Failure
M,302.5,312.0,1487,46.1,175,No Failure
L,302.6,312.1,1668,28.7,180,Random Failures
L,302.6,312.1,1420,51.6,182,No Failure
L,302.6,312.1,1473,37.3,184,No Failure
L,302.5,312.0,1495,38.8,186,No Failure
L,302.5,312.0,1574,42.0,188,No Failure
L,302.5,312.0,1383,51.3,190,No Failure
M,302.5,312.0,1591,29.4,192,No Failure
M,302.4,311.8,1644,37.2,195,No Failure
L,302.5,311.9,1401,44.9,203,No Failure
L,302.5,312.0,1456,46.3,208,No Failure
M,302.5,312.0,1447,45.7,210,No Failure
L,302.4,311.7,1495,36.8,215,No Failure
L,302.3,311.6,1544,34.3,0,No Failure
L,302.3,311.5,1387,47.3,2,No Failure
L,302.3,311.5,1794,26.1,7,No Failure
M,302.2,311.4,1372,55.1,9,No Failure
M,302.3,311.5,1674,30.0,12,No Failure
L,302.2,311.4,1397,53.0,17,No Failure
L,302.2,311.5,1616,34.0,19,No Failure
M,302.3,311.5,1530,42.3,21,No Failure
L,302.3,311.4,1845,21.9,27,No Failure
L,302.2,311.4,1430,43.1,29,No Failure
L,302.2,311.4,2080,19.2,31,No Failure
M,302.2,311.4,1432,45.3,33,No Failure
M,302.2,311.5,1479,39.5,36,No Failure
L,302.2,311.5,1424,45.2,39,No Failure
H,302.2,311.6,1534,37.2,41,No Failure
H,302.1,311.6,1701,26.2,46,No Failure
M,302.2,311.7,1393,42.5,53,No Failure
L,302.3,311.8,1565,37.8,59,No Failure
M,302.2,311.7,1466,49.0,66,No Failure
M,302.2,311.6,1386,50.5,69,No Failure
L,302.2,311.6,1383,44.3,72,No Failure
M,302.2,311.6,1592,37.7,79,No Failure
H,302.2,311.6,1594,36.8,82,No Failure
L,302.2,311.5,1482,45.6,87,No Failure
L,302.3,311.7,2170,18.2,91,No Failure
L,302.3,311.8,1435,44.8,98,No Failure
L,302.4,311.8,1320,56.4,100,No Failure
H,302.5,311.9,1595,34.6,112,No Failure
L,302.5,311.9,1354,49.4,117,No Failure
L,302.5,311.9,1265,59.8,119,No Failure
L,302.4,311.9,1867,25.9,121,No Failure
L,302.5,311.9,1497,41.6,123,No Failure
M,302.5,311.9,1347,54.3,125,No Failure
L,302.3,311.7,1544,43.2,128,No Failure
L,302.5,311.8,1335,52.7,135,No Failure
L,302.4,311.9,1452,43.1,137,No Failure
L,302.2,311.7,1556,38.6,145,No Failure
L,302.2,311.6,1545,35.9,152,No Failure
L,302.2,311.7,1330,54.6,154,No Failure
L,302.2,311.8,1618,36.0,158,No Failure
L,302.3,312.0,1354,52.2,165,No Failure
L,302.3,312.0,1746,28.1,167,No Failure
L,302.3,311.9,1434,51.9,173,No Failure
M,302.3,311.8,1443,43.4,175,No Failure
M,302.3,311.8,1475,48.0,180,No Failure
M,302.3,311.8,1559,34.4,191,No Failure
M,302.4,311.9,1422,46.4,194,No Failure
M,302.3,311.8,1463,35.7,197,No Failure
L,302.3,311.7,1793,25.3,200,No Failure
L,302.3,311.8,1487,43.2,206,No Failure
L,302.3,311.8,1369,56.2,208,Overstrain Failure
L,302.4,311.8,1673,30.1,210,No Failure
M,302.4,311.9,1439,36.6,212,No Failure
L,302.3,311.8,1574,42.8,215,No Failure
L,302.3,311.7,1281,48.8,0,No Failure
M,302.2,311.7,1653,31.4,2,No Failure
M,302.3,311.7,1535,38.3,5,No Failure
M,302.3,311.7,1483,40.5,8,No Failure
M,302.2,311.6,1379,42.9,13,No Failure
H,302.2,311.5,1482,42.6,16,No Failure
L,302.1,311.5,1987,20.1,21,No Failure
H,302.2,311.8,1330,62.4,31,No Failure
L,302.2,311.8,1981,21.8,36,No Failure
H,302.3,311.8,1475,42.8,38,No Failure
L,302.1,311.5,1727,27.7,50,No Failure
M,302.0,311.5,1366,52.3,54,No Failure
L,301.9,311.3,1366,55.6,57,No Failure
M,301.9,311.3,1522,35.6,63,No Failure
L,301.7,311.2,1589,37.9,75,No Failure
L,301.7,311.3,1708,30.5,77,No Failure
L,301.6,311.2,1408,42.9,89,No Failure
L,301.6,311.2,1525,43.7,91,No Failure
H,301.6,311.2,1395,46.8,95,No Failure
L,301.5,311.1,1602,34.3,100,No Failure
L,301.6,311.1,1907,21.5,102,No Failure
L,301.6,311.1,1325,49.2,104,No Failure
L,301.6,311.1,1408,44.4,106,No Failure
M,301.7,311.1,1489,41.4,108,No Failure
L,301.7,311.2,1517,42.4,113,No Failure
M,301.7,311.1,1618,36.7,115,No Failure
L,301.7,311.1,1455,39.8,118,No Failure
H,301.8,311.1,1543,36.4,120,No Failure
L,301.7,311.1,1469,37.2,128,No Failure
L,301.7,311.2,1521,36.7,130,No Failure
L,301.7,311.3,1584,38.8,132,No Failure
M,301.7,311.2,1563,34.5,139,No Failure
M,301.8,311.3,1542,40.1,142,No Failure
L,301.8,311.3,1471,44.2,148,No Failure
M,301.9,311.5,1492,40.8,150,No Failure
M,301.9,311.4,1465,39.9,153,No Failure
L,301.5,310.8,1593,34.5,162,No Failure
L,301.5,310.9,1469,44.7,164,No Failure
L,301.5,310.8,1413,44.6,166,No Failure
L,301.4,310.8,1490,38.0,168,No Failure
L,301.5,310.9,1671,31.1,170,No Failure
L,301.5,310.9,1365,46.5,172,No Failure
M,301.4,310.9,1489,38.9,179,No Failure
L,301.4,311.0,1733,25.7,182,No Failure
L,301.3,311.0,1856,21.9,189,No Failure
L,301.3,311.1,1454,40.3,191,No Failure
L,301.4,311.1,1495,36.3,193,No Failure
L,301.2,311.0,1761,29.1,195,No Failure
M,301.3,311.0,1402,47.5,197,No Failure
L,301.2,311.0,1670,33.0,200,No Failure
L,301.3,311.0,1539,36.9,206,No Failure
L,301.3,311.0,1418,41.9,208,No Failure
L,301.3,311.1,1723,27.6,210,No Failure
L,301.3,311.1,1303,49.2,212,No Failure
M,301.3,311.0,1463,50.2,214,No Failure
L,301.2,311.0,1544,39.3,217,No Failure
M,301.3,311.1,1492,41.2,223,No Failure
M,301.2,311.1,1574,34.3,4,No Failure
L,301.3,311.3,1474,50.7,10,No Failure
L,301.3,311.2,1457,44.5,14,No Failure
L,301.3,311.2,1668,30.1,18,No Failure
L,301.2,311.1,1550,39.7,20,No Failure
M,301.4,311.2,1476,36.5,25,No Failure
M,301.4,311.2,1541,36.3,28,No Failure
M,301.3,311.1,1678,30.7,34,No Failure
L,301.5,311.2,1700,28.8,39,No Failure
L,301.4,311.1,1462,37.1,41,No Failure
L,301.4,311.3,1674,33.3,46,No Failure
L,301.4,311.3,1397,42.3,48,No Failure
M,301.4,311.2,1434,47.6,52,No Failure
L,301.3,311.1,1560,35.3,55,No Failure
L,301.2,311.0,1573,32.8,57,No Failure
H,301.2,310.9,1798,22.3,59,No Failure
L,301.2,311.0,1567,35.1,64,No Failure
L,301.2,310.9,1416,53.3,66,No Failure
H,301.2,310.9,1598,35.9,71,No Failure
L,301.3,310.9,1760,23.9,76,No Failure
L,301.3,311.0,1542,33.6,80,No Failure
L,301.3,310.9,1566,33.1,82,No Failure
L,301.3,311.0,1554,47.7,84,No Failure
L,301.4,311.0,1470,40.6,86,No Failure
M,301.5,311.1,1402,40.0,94,No Failure
L,301.5,311.1,1459,45.1,97,No Failure
L,301.5,311.0,1494,45.3,99,No Failure
L,301.5,311.1,1731,27.9,101,No Failure
L,301.5,311.1,2076,18.7,103,No Failure
L,301.5,311.1,2055,16.8,105,No Failure
L,301.5,311.1,1469,49.5,107,No Failure
M,301.5,311.0,1504,42.6,109,No Failure
L,301.4,311.0,1701,28.4,127,No Failure
L,301.5,311.1,1434,49.6,129,No Failure
L,301.4,311.1,1952,22.7,131,No Failure
L,301.4,311.1,1800,26.0,135,No Failure
M,301.3,311.1,1438,43.0,137,No Failure
L,301.3,311.1,1647,28.2,140,No Failure
H,301.4,311.1,1445,41.4,144,No Failure
L,301.4,311.0,1634,32.6,155,No Failure
L,301.4,311.0,1334,53.3,157,No Failure
M,301.3,311.0,1410,52.7,161,No Failure
L,301.2,310.9,1597,37.9,164,No Failure
M,301.0,310.7,1517,40.2,171,No Failure
L,301.0,310.7,1300,57.2,174,No Failure
M,300.9,310.7,1485,41.0,181,No Failure
L,300.9,310.5,1894,21.9,188,No Failure
H,300.8,310.5,1582,31.1,193,No Failure
H,300.8,310.4,1419,46.4,200,No Failure
M,300.8,310.3,1526,36.3,205,No Failure
H,300.7,310.2,1364,65.3,208,Power Failure
M,300.8,310.3,1458,43.4,0,No Failure
M,300.8,310.4,1288,64.0,3,No Failure
L,300.6,310.2,1555,41.9,19,No Failure
L,300.6,310.2,1341,52.6,21,No Failure
L,300.6,310.1,1541,42.0,23,No Failure
L,300.5,310.3,1336,57.1,29,No Failure
L,300.5,310.3,1435,43.3,31,No Failure
M,300.4,310.3,1537,35.0,33,No Failure
L,300.3,310.2,1369,48.8,36,No Failure
M,300.2,310.1,1619,31.3,38,No Failure
L,300.2,310.1,1440,51.1,41,No Failure
L,300.2,310.1,1649,30.5,43,No Failure
M,300.2,310.1,1550,38.7,45,No Failure
L,300.3,310.3,1483,51.6,50,No Failure
L,300.3,310.4,1336,54.4,52,No Failure
L,300.5,310.5,1515,36.6,54,No Failure
L,300.5,310.5,1373,47.4,56,No Failure
L,300.5,310.5,1646,34.5,63,No Failure
M,300.5,310.4,1548,37.3,65,No Failure
M,300.6,310.5,1462,41.3,68,No Failure
L,300.7,310.7,1450,43.4,80,No Failure
L,300.7,310.7,1541,41.3,82,No Failure
M,300.7,310.6,1484,38.0,84,No Failure
L,300.7,310.8,1496,46.4,90,No Failure
M,300.7,310.8,1465,45.2,92,No Failure
M,300.7,310.8,1506,44.0,97,No Failure
L,300.7,310.8,1689,28.9,100,No Failure
L,300.7,310.9,1650,29.4,102,No Failure
M,300.7,310.9,1486,38.9,106,No Failure
L,300.8,310.9,1732,25.7,109,No Failure
L,300.7,310.8,1653,31.6,111,No Failure
L,300.7,310.9,1637,37.2,115,No Failure
L,300.6,310.8,1378,51.2,119,No Failure
L,300.5,310.7,1606,33.5,121,No Failure
L,300.3,310.7,1539,32.3,123,No Failure
H,300.4,310.7,1656,36.3,127,No Failure
H,300.5,310.8,1631,30.5,132,No Failure
L,300.4,310.8,1396,49.3,142,No Failure
L,300.4,310.8,1390,52.5,144,No Failure
L,300.4,310.8,1348,56.0,146,No Failure
M,300.4,310.8,1491,35.9,148,No Failure
L,300.4,310.8,1520,37.6,151,No Failure
L,300.5,310.8,1509,33.0,153,No Failure
L,300.5,310.8,1445,46.6,155,No Failure
L,300.5,310.8,1354,51.8,157,No Failure
L,300.5,310.7,1488,39.4,159,No Failure
L,300.6,310.7,1750,30.6,171,No Failure
H,300.6,310.7,1501,45.3,175,No Failure
L,300.7,310.8,1486,37.1,186,No Failure
H,300.7,310.8,1346,52.0,193,No Failure
L,300.7,310.7,1314,42.4,198,No Failure
L,300.6,310.7,1440,52.5,200,No Failure
L,300.7,310.8,1608,39.5,202,No Failure
H,300.7,310.8,1296,58.2,204,No Failure
L,300.7,310.7,1507,46.1,209,No Failure
M,300.7,310.7,1343,51.6,211,No Failure
L,300.7,310.7,1416,40.4,214,No Failure
M,300.7,310.6,1407,42.4,218,No Failure
L,300.6,310.4,1608,39.2,221,No Failure
L,300.6,310.3,1920,22.3,223,No Failure
M,300.4,310.2,1671,30.5,234,Tool Wear Failure
H,300.4,310.2,1431,43.2,0,No Failure
L,300.4,310.2,1529,36.2,10,No Failure
L,300.5,310.4,1761,26.5,12,No Failure
L,300.6,310.5,1570,38.3,14,No Failure
M,300.6,310.5,2156,18.0,16,No Failure
L,300.6,310.6,1931,22.0,24,No Failure
H,300.7,310.7,1428,43.4,26,No Failure
L,300.8,310.8,1564,36.2,31,No Failure
H,300.8,310.9,1425,44.0,33,No Failure
M,300.8,310.8,1520,38.0,45,No Failure
L,300.7,310.7,1425,45.3,48,No Failure
L,300.8,310.9,1398,38.2,50,No Failure
M,300.8,310.9,1557,31.6,52,No Failure
L,300.7,310.8,1619,34.9,57,No Failure
L,300.7,310.9,1356,65.3,66,Power Failure
L,300.7,311.0,1403,48.3,70,No Failure
L,300.6,310.9,1472,47.6,75,No Failure
M,300.7,310.8,1452,47.9,77,No Failure
L,300.6,310.7,1397,53.7,80,No Failure
L,300.6,310.9,1471,37.9,86,No Failure
M,300.6,310.9,1702,30.3,91,No Failure
L,300.7,311.1,1426,46.2,97,No Failure
L,300.6,310.9,1433,42.6,101,No Failure
M,300.7,311.1,1438,46.6,103,No Failure
M,300.8,311.0,1580,36.6,109,No Failure
L,300.8,310.9,1311,55.8,118,No Failure
L,300.9,311.0,1316,56.5,120,No Failure
M,300.9,311.0,1567,34.3,130,No Failure
M,300.9,311.1,1546,37.7,133,No Failure
L,300.9,311.0,1382,51.2,136,No Failure
L,300.8,310.9,1748,29.9,140,No Failure
L,300.8,310.8,1634,29.2,149,No Failure
L,300.9,311.0,2235,15.8,156,No Failure
L,301.0,311.1,1615,35.6,158,No Failure
H,301.1,311.1,1618,29.5,160,No Failure
M,301.1,311.2,1407,53.0,165,No Failure
L,301.1,311.1,1450,43.3,168,No Failure
L,301.1,311.1,1889,23.8,170,No Failure
L,301.0,311.0,1804,25.8,174,No Failure
L,301.0,311.0,1582,37.5,176,No Failure
M,301.0,310.9,2047,17.9,178,No Failure
L,300.9,310.9,1601,34.0,181,No Failure
L,300.9,310.9,1615,32.0,183,No Failure
M,300.9,310.8,1452,43.6,185,No Failure
L,301.0,310.9,1492,36.7,199,No Failure
L,300.9,310.7,1479,43.3,201,No Failure
M,300.8,310.7,1371,44.7,205,No Failure
L,300.9,310.7,1517,41.7,210,No Failure
L,300.9,310.7,1352,46.4,212,No Failure
M,300.8,310.6,1505,36.2,0,No Failure
L,300.9,310.6,1538,36.7,3,No Failure
L,300.9,310.8,1476,39.0,10,No Failure
L,300.9,310.7,1509,37.5,12,No Failure
L,300.9,310.8,1708,29.1,14,No Failure
L,300.9,310.7,1412,57.5,16,Random Failures
L,301.0,310.8,1375,57.2,20,No Failure
M,300.9,310.8,1402,48.1,22,No Failure
M,300.9,310.7,1452,47.3,25,No Failure
M,300.8,310.7,1924,22.4,36,No Failure
M,300.8,310.7,1886,21.1,44,No Failure
L,300.7,310.7,1442,43.2,49,No Failure
L,300.9,311.0,1432,48.1,59,No Failure
L,300.9,311.0,1438,49.0,61,No Failure
M,300.8,310.9,1678,28.1,63,No Failure
M,300.8,310.9,1514,38.7,66,No Failure
L,300.7,310.8,1534,41.3,69,No Failure
